study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias
PRJNA352475	SAMN06350040	SRS1992885	SRX2578057	SRR5274074	2061_t0	CA_C10005MS2061SA_t0M15
PRJNA352475	SAMN06350039	SRS1992886	SRX2578058	SRR5274075	2038_t2	CA_C10003IS2038SA_t2M15
PRJNA352475	SAMN06350038	SRS1992887	SRX2578059	SRR5274076	2042_t4	CA_C10003IS2042FE_t4M15
PRJNA352475	SAMN06350037	SRS1992888	SRX2578060	SRR5274077	2040_t3	CA_C10003IS2040FE_t3M15
PRJNA352475	SAMN06350036	SRS1992889	SRX2578061	SRR5274078	2032_t0	CA_C10003MS2032SK_t0M15
PRJNA352475	SAMN06350035	SRS1992890	SRX2578062	SRR5274079	2030_t0	CA_C10003MS2030FE_t0M15
PRJNA352475	SAMN06350034	SRS1992891	SRX2578063	SRR5274080	2031_t0	CA_C10003MS2031VA_t0M15
PRJNA352475	SAMN06350033	SRS1992892	SRX2578064	SRR5274081	2028_t4	CA_C10002IS2028FE_t4M15
PRJNA352475	SAMN06350032	SRS1992893	SRX2578065	SRR5274082	2026_t3	CA_C10002IS2026FE_t3M15
PRJNA352475	SAMN06350031	SRS1992894	SRX2578066	SRR5274083	2024_t2	CA_C10002IS2024SA_t2M15
PRJNA352475	SAMN06350030	SRS1992895	SRX2578067	SRR5274084	2023_t2	CA_C10002IS2023FE_t2M15
PRJNA352475	SAMN06350029	SRS1992896	SRX2578068	SRR5274085	2016_t0	CA_C10002MS2016FE_t0M15
PRJNA352475	SAMN06350028	SRS1992897	SRX2578069	SRR5274086	2015_t0	CA_C10002MS2015SA_t0M15
PRJNA352475	SAMN06350027	SRS1992898	SRX2578070	SRR5274087	2012_t3	CA_C10001IS2012FE_t3M15
PRJNA352475	SAMN06350026	SRS1992899	SRX2578071	SRR5274088	2010_t2	CA_C10001IS2010SA_t2M15
PRJNA352475	SAMN06350025	SRS1992900	SRX2578072	SRR5274089	2009_t2	CA_C10001IS2009FE_t2M15
PRJNA352475	SAMN06350024	SRS1992901	SRX2578073	SRR5274090	2007_t1	CA_C10001IS2007SA_t1M15
PRJNA352475	SAMN06350023	SRS1992903	SRX2578074	SRR5274091	2006_t1	CA_C10001IS2006FE_t1M15
PRJNA352475	SAMN06350022	SRS1992902	SRX2578075	SRR5274092	2001_t0	CA_C10001MS2001SA_t0M15
PRJNA352475	SAMN06350021	SRS1992904	SRX2578076	SRR5274093	2003_t0	CA_C10001MS2003VA_t0M15
