study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	experiment_alias	sample_alias	sample_title
PRJNA475246	SAMN09382528	SRS3395856	SRX4184475	SRR7280927	EDIA300177	G102269	M0201-Child:Birth
PRJNA475246	SAMN09382546	SRS3395853	SRX4184474	SRR7280928	EDIA300348	G102284	M0226-Mother:3 months
PRJNA475246	SAMN09382538	SRS3395852	SRX4184473	SRR7280929	EDIA300117	G104705	M0210-Mother:Gest
PRJNA475246	SAMN09382599	SRS3395851	SRX4184472	SRR7280930	EDIA300376	G102293	M0346-Child:Birth
PRJNA475246	SAMN09382600	SRS3395850	SRX4184471	SRR7280931	EDIA301032	G102294	M0346-Child:14 days
PRJNA475246	SAMN09382601	SRS3395849	SRX4184470	SRR7280932	EDIA301033	G102295	M0346-Child:1 month
PRJNA475246	SAMN09382602	SRS3395848	SRX4184469	SRR7280933	EDIA301034	G102296	M0346-Child:2 months
PRJNA475246	SAMN09382603	SRS3395845	SRX4184468	SRR7280934	EDIA301035	G102297	M0346-Child:3 months
PRJNA475246	SAMN09382604	SRS3395847	SRX4184467	SRR7280935	EDIA300239	G102290	M0346-Mother:Gest
PRJNA475246	SAMN09382605	SRS3395844	SRX4184466	SRR7280936	EDIA300390	G102291	M0346-Mother:Birth
PRJNA475246	SAMN09382606	SRS3395846	SRX4184465	SRR7280937	EDIA301031	G102292	M0346-Mother:3 months
PRJNA475246	SAMN09382607	SRS3395843	SRX4184464	SRR7280938	EDIA300387	G102349	M0353-Child:Birth
PRJNA475246	SAMN09382608	SRS3395842	SRX4184463	SRR7280939	EDIA301048	G102350	M0353-Child:14 days
PRJNA475246	SAMN09382700	SRS3395841	SRX4184462	SRR7280940	EDIA301254	G104638	M0806-Child:Birth
PRJNA475246	SAMN09382699	SRS3395840	SRX4184461	SRR7280941	EDIA301492	G104642	M0806-Child:3 months
PRJNA475246	SAMN09382706	SRS3395839	SRX4184460	SRR7280942	EDIA301697	G104679	M0808-Child:2 months
PRJNA475246	SAMN09382705	SRS3395838	SRX4184459	SRR7280943	EDIA301696	G104678	M0808-Child:1 month
PRJNA475246	SAMN09382704	SRS3395836	SRX4184458	SRR7280944	EDIA301062	G104635	M0806-Mother:Gest
PRJNA475246	SAMN09382703	SRS3395837	SRX4184457	SRR7280945	EDIA301260	G104636	M0806-Mother:Birth
PRJNA475246	SAMN09382454	SRS3395833	SRX4184456	SRR7280946	EDIA300004	G102203	M0018-Mother:Gest
PRJNA475246	SAMN09382499	SRS3395835	SRX4184455	SRR7280947	EDIA300030	G102235	M0074-Mother:Gest
PRJNA475246	SAMN09382543	SRS3395834	SRX4184454	SRR7280948	EDIA300352	G102289	M0226-Child:3 months
PRJNA475246	SAMN09382544	SRS3395832	SRX4184453	SRR7280949	EDIA300128	G102282	M0226-Mother:Gest
PRJNA475246	SAMN09382540	SRS3395831	SRX4184452	SRR7280950	EDIA300349	G102286	M0226-Child:14 days
PRJNA475246	SAMN09382545	SRS3395829	SRX4184451	SRR7280951	EDIA300236	G102283	M0226-Mother:Birth
PRJNA475246	SAMN09382598	SRS3395830	SRX4184450	SRR7280952	EDIA301020	G102340	M0333-Mother:3 months
PRJNA475246	SAMN09382597	SRS3395827	SRX4184449	SRR7280953	EDIA300365	G102339	M0333-Mother:Birth
PRJNA475246	SAMN09382596	SRS3395828	SRX4184448	SRR7280954	EDIA300225	G102338	M0333-Mother:Gest
PRJNA475246	SAMN09382595	SRS3395826	SRX4184447	SRR7280955	EDIA301024	G102345	M0333-Child:3 months
PRJNA475246	SAMN09382594	SRS3395824	SRX4184446	SRR7280956	EDIA301023	G102344	M0333-Child:2 months
PRJNA475246	SAMN09382593	SRS3395825	SRX4184445	SRR7280957	EDIA301022	G102343	M0333-Child:1 month
PRJNA475246	SAMN09382592	SRS3395821	SRX4184444	SRR7280958	EDIA301021	G102342	M0333-Child:14 days
PRJNA475246	SAMN09382591	SRS3395823	SRX4184443	SRR7280959	EDIA300364	G102341	M0333-Child:Birth
PRJNA475246	SAMN09382590	SRS3395822	SRX4184442	SRR7280960	EDIA301001	G102276	M0327-Mother:3 months
PRJNA475246	SAMN09382589	SRS3395818	SRX4184441	SRR7280961	EDIA300322	G102275	M0327-Mother:Birth
PRJNA475246	SAMN09382715	SRS3395819	SRX4184440	SRR7280962	EDIA301798	G104650	M0901-Child:3 months
PRJNA475246	SAMN09382716	SRS3395820	SRX4184439	SRR7280963	EDIA301543	G104646	M0901-Child:Birth
PRJNA475246	SAMN09382698	SRS3395816	SRX4184438	SRR7280964	EDIA301491	G104641	M0806-Child:2 months
PRJNA475246	SAMN09382714	SRS3395817	SRX4184437	SRR7280965	EDIA301797	G104649	M0901-Child:2 months
PRJNA475246	SAMN09382711	SRS3395815	SRX4184436	SRR7280966	EDIA301432	G104675	M0808-Mother:Birth
PRJNA475246	SAMN09382712	SRS3395814	SRX4184435	SRR7280967	EDIA301223	G104674	M0808-Mother:Gest
PRJNA475246	SAMN09382709	SRS3395811	SRX4184434	SRR7280968	EDIA301695	G104677	M0808-Child:14 days
PRJNA475246	SAMN09382710	SRS3395809	SRX4184433	SRR7280969	EDIA301699	G104676	M0808-Mother:3 months
PRJNA475246	SAMN09382541	SRS3395808	SRX4184432	SRR7280970	EDIA300350	G102287	M0226-Child:1 month
PRJNA475246	SAMN09382717	SRS3395807	SRX4184431	SRR7280971	EDIA301795	G104647	M0901-Child:14 days
PRJNA475246	SAMN09382718	SRS3395806	SRX4184430	SRR7280972	EDIA301803	G104645	M0901-Mother:3 months
PRJNA475246	SAMN09382542	SRS3395813	SRX4184429	SRR7280973	EDIA300351	G102288	M0226-Child:2 months
PRJNA475246	SAMN09382689	SRS3395812	SRX4184428	SRR7280974	EDIA301485	G104632	M0792-Child:1 month
PRJNA475246	SAMN09382697	SRS3395810	SRX4184427	SRR7280975	EDIA301490	G104640	M0806-Child:1 month
PRJNA475246	SAMN09382627	SRS3395805	SRX4184426	SRR7280976	EDIA301085	G102313	M0388-Child:3 months
PRJNA475246	SAMN09382628	SRS3395804	SRX4184425	SRR7280977	EDIA300277	G102306	M0388-Mother:Gest
PRJNA475246	SAMN09382621	SRS3395803	SRX4184424	SRR7280978	EDIA300396	G102355	M0369-Mother:Birth
PRJNA475246	SAMN09382622	SRS3395802	SRX4184423	SRR7280979	EDIA301052	G102356	M0369-Mother:3 months
PRJNA475246	SAMN09382619	SRS3395801	SRX4184422	SRR7280980	EDIA301056	G102361	M0369-Child:3 months
PRJNA475246	SAMN09382620	SRS3395799	SRX4184421	SRR7280981	EDIA300262	G102354	M0369-Mother:Gest
PRJNA475246	SAMN09382625	SRS3395877	SRX4184420	SRR7280982	EDIA301083	G102311	M0388-Child:1 month
PRJNA475246	SAMN09382626	SRS3395800	SRX4184419	SRR7280983	EDIA301084	G102312	M0388-Child:2 months
PRJNA475246	SAMN09382623	SRS3395798	SRX4184418	SRR7280984	EDIA300423	G102309	M0388-Child:Birth
PRJNA475246	SAMN09382624	SRS3395797	SRX4184417	SRR7280985	EDIA301082	G102310	M0388-Child:14 days
PRJNA475246	SAMN09382682	SRS3395796	SRX4184416	SRR7280986	EDIA301105	G104651	M0744-Mother:Gest
PRJNA475246	SAMN09382723	SRS3395795	SRX4184415	SRR7280987	EDIA301867	G104666	M1098-Child:3 months
PRJNA475246	SAMN09382726	SRS3395794	SRX4184414	SRR7280988	EDIA301868	G104661	M1098-Mother:3 months
PRJNA475246	SAMN09382725	SRS3395792	SRX4184413	SRR7280989	EDIA301864	G104663	M1098-Child:14 days
PRJNA475246	SAMN09382720	SRS3395791	SRX4184412	SRR7280990	EDIA301246	G104643	M0901-Mother:Gest
PRJNA475246	SAMN09382719	SRS3395790	SRX4184411	SRR7280991	EDIA301546	G104644	M0901-Mother:Birth
PRJNA475246	SAMN09382722	SRS3395789	SRX4184410	SRR7280992	EDIA301866	G104665	M1098-Child:2 months
PRJNA475246	SAMN09382721	SRS3395788	SRX4184409	SRR7280993	EDIA301865	G104664	M1098-Child:1 month
PRJNA475246	SAMN09382532	SRS3395787	SRX4184408	SRR7280994	EDIA300281	G102273	M0201-Child:3 months
PRJNA475246	SAMN09382531	SRS3395786	SRX4184407	SRR7280995	EDIA300280	G102272	M0201-Child:2 months
PRJNA475246	SAMN09382530	SRS3395785	SRX4184406	SRR7280996	EDIA300279	G102271	M0201-Child:1 month
PRJNA475246	SAMN09382529	SRS3395784	SRX4184405	SRR7280997	EDIA300278	G102270	M0201-Child:14 days
PRJNA475246	SAMN09382728	SRS3395783	SRX4184404	SRR7280998	EDIA301361	G104659	M1098-Mother:Gest
PRJNA475246	SAMN09382727	SRS3395781	SRX4184403	SRR7280999	EDIA301637	G104660	M1098-Mother:Birth
PRJNA475246	SAMN09382534	SRS3395782	SRX4184402	SRR7281000	EDIA300282	G102267	M0201-Mother:Birth
PRJNA475246	SAMN09382533	SRS3395779	SRX4184401	SRR7281001	EDIA300106	G102266	M0201-Mother:Gest
PRJNA475246	SAMN09382539	SRS3395780	SRX4184400	SRR7281002	EDIA300230	G102285	M0226-Child:Birth
PRJNA475246	SAMN09382724	SRS3395777	SRX4184399	SRR7281003	EDIA301634	G104662	M1098-Child:Birth
PRJNA475246	SAMN09382729	SRS3395778	SRX4184398	SRR7281004	EDIA301841	G104671	M1172-Child:1 month
